"Date","Record Number","Record Type","Application Name","Status","Description",
"09/04/2020","CE-0512075","Complaint","Zoning-Lighting","New","Mailed In-RKL-Lights hung in back yard affecting neighboring property.",
"09/04/2020","CE-0512074","Complaint","Building-Unpermitted Work","New","Online-RKL-Neighbor cut the curb and made his own driveway and them tried to pain the street red to stop people from parking in front of his new driveway. It doesn't seem to be permitted.",
"09/04/2020","CE-0512073","Complaint","Zoning-Sidewalk Cafe","New","Online-RKL-Outdoor dining area surpassing allowed space on public roadway, hindering public parking",
"09/04/2020","CE-0512072","Complaint","Zoning-Discretionary Permit Violations","New","Online - SMR""PTS 31491, Sprint London American General, expired on 8/2/14. Project consists of two sectors of one antenna each and roof mounted equipment.  Sprint may still be the tenant, but it is not on their inventory.It is on Crown Castle's inventory.""",
"09/04/2020","CE-0512071","Complaint","Zoning-Discretionary Permit Violations","New","Online-RKL-Wireless Issue-PTS 202558 Sprint Fresh & Easy, expired on 6/11/20.  No new application submitted. T-Mobile is also at this site.",
"09/04/2020","CE-0512070","Complaint","Building-Unpermitted Work","New","Online-RKL-2 subterranean basement spaces in the rear of the building being rented out, not up to code, no clearly marked unit numbers, etc to adults and multiple children in each space",
"09/04/2020","CE-0512069","Complaint","Noise-Nuisance Referral","New","Online-RKL-The next door neighbors are consistently working after 7 PM. They initially began working outside of designated hours beginning on Monday, May 25th, and most recently, on September 2nd, 2020.",
"09/04/2020","CE-0512068","Complaint","Zoning-Newsracks","New","GID - 0.065525 - SMR""Newsrack got vandalized and is now missing the glass door""",
"09/03/2020","CE-0512067","Complaint","Zoning-Miscellaneous","New","GID 03065614_RKL-Encroachment into PROW-Rockford and Montezuma on Rockford porta potty blocking ? access. They say they have a right to put porta potty on sidewalk to block wheel chair access please fix so i can get home",
"09/03/2020","CE-0512066","Complaint","Building-Unpermitted Work","New","Online-RKL- The tenant Josie just built a patio right up against my fence line. No permit and now I can’t fix the fence. I will get run off and she’s intention is to enclose it to a room just like she did with the front patio. I believe the my are also living out of a Rv her brother in the back alley of the house And also said that her intent was to take it down she does all of their without the absentee owner knowing what’s going on. Also mentioned that there is cars that rotate outside every three days don’t know what that’s about if if her brother is involved in something else",
"09/03/2020","CE-0512065","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-815-823 05th Av-restaurants operating in the PROW-platform without a permit",
"09/03/2020","CE-0512064","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-restaurants operating in the PROW-platform without a permit",
"09/03/2020","CE-0512063","Complaint","Zoning-Sidewalk Cafe","New","Email Referral-RKL-restaurants operating in the PROW-platform without a permit",
"09/03/2020","CE-0512062","Complaint","Zoning-Sidewalk Cafe","New","Online-RKL-restaurants operating in the PROW-platform without a permit",
"09/03/2020","CE-0512061","Complaint","Noise-Other Offensive Noise","Closed -Alternative Compliance","Online - SMR""Resident has multiple chickens and a Rooster in the back yard.  The back yard is on top of a hill and over looks the lower streets (Revillo drive, 92115)  in the canyon.  The resident's roosters crows several times an hour, everyday starting at 4:00 am until in to the night.  This has been going on since June 2020. The county was notified and referred me to this website based on property jurisdiction.""",
"09/03/2020","CE-0512060","Complaint","Building-Mold","New","Online-RKL-We currently are leasing 4775 Lamont St in Pacific Beach and move out on Sep 7th. There are a couple of items we'd like to report on this home before we leave. The first, and most concerning issue, is the presence of mold. In the showers, near the front door, under the staircase, and in the downstairs bedroom. My roommate has multiple handbags and shoes ruined because they have been found covered in the mold during our packing process. Under the staircase, there is a strong odor of mildew and we have found damp items underneath that we originally had placed in there for storage.  We are now questioning if the presence of mold has had any effect on our personal health as some of us have been experiencing symptoms of mold exposure.The second issue is the staircase. The stairs are relatively small and uneven in size (I'm unsure the code standards on stairs) but they are certainly not up to code. This past year by roommate fell on the staircase and fractured her tailbone (which she needed to be taken to the hospital for) and had to endure the effects of.The third and final issue is the sewage for all of the units in our area has come up in the downstairs shower multiple times now and gets drained through our backyard in a hole. We were unaware upon signing the lease that the sewage hole was in our backyard and there was any potential to have backlogged items come up next to our grass.We move out in a couple of days so there's not much we'd like to change going forward. We'd like to know if and what actions can be taken against the mold and if we need to be concerned about our health/personal items. Second, we'd like to make the city aware that this home (built-in 1901 may I add) could potentially get turned around and leased out to a new group who is going to be completely unaware of these issues. If someone is unavailable to come look at the property before we move out, we'd strongly encourage someone to follow up with our landlord to see if he makes any of the necessary changes. Please feel free to contact us with any questions, again we are looking for guidance and any recommendations the city has at this point.",
"09/03/2020","CE-0512059","Complaint","Building-Unpermitted Work","New","Online-RKL-The awning built on property 3266 Island Ave, encroaches into my property, 3262 Island Ave San Diego, CA 92102. The awning extends over my wood fence and is actively contributing to the premature deterioration of the wood.",
"09/03/2020","CE-0512058","Complaint","Zoning-Sidewalk Cafe","New","Email - SMR - NQW""restaurants operating in the PROW-platform without a permit. """,
"09/03/2020","CE-0512057","Complaint","Zoning-Sidewalk Cafe","New","Email - SMR * NQW[Violation address: 926 05th Ave & 936 05th Ave]""restaurants operating in the PROW-platform without a permit. """,
"09/03/2020","CE-0512056","Complaint","Building-Unpermitted Work","Active Investigation","GID 03065013-RKL-At the new Spirit Halloween store. Construction crew working with loud equipment at 6:30 in the morning.",
"09/03/2020","CE-0512055","Complaint","Building-Inadequate Barriers for Pools/Spas","Active Investigation","Online - SMR""1. Extensive renovation/ remodel apparently without a permit!  House Walls are removed inside except for framing, driveway is removed, etc.2. Urgent safety issue: front fence is removed and replaced only by caution tape, leaving easy access from street to  an open swimming pool 30 feet away, surrounded only by some street cones and caution tape. Pool was finally drained last week, but remains a hazard to fall into.  Children in neighborhood have easy access on foot or on a bicycle.,""",
"09/03/2020","CE-0512054","Complaint","Zoning-Miscellaneous","New","GID 03064221-RKL-Obstruction on sidewalk that is extremely dangerous to elderly pedestrians since elderly pedestrians walking on the sidewalk must now move to the street to get around this unsafe obstruction. Obstruction placed by resident of 8885 Ragweed Court, San Diego, CA 92129. Perhaps this should be moved to the residents OWN property as not to obstruct the sidewalk for elderly pedestrians?",
"09/03/2020","CE-0512053","Complaint","Building-Unpermitted Work","New","GID - 3064826 - SMR""This is the unfinished employee parking lot for Family Health Center located at 5454 El Cajon Blvd. Its a mess and has been an eyesore in the neighborhood for at least 3 years. When it rains mud is everywhere. The City needs to make them finish it or shut it down""",
"09/03/2020","CE-0512052","Complaint","Building-Miscellaneous","New","Online-RKL-There is water damage in the bedroom and our bathroom door doesn’t close completely or gets stuck and is very difficult to open which is a concern for our small ones and is also a fire hazard. We have been living here for 13 years and since we have been here the apartment has not been painted and when we ask the owners to come and fix stuff around the apartment they don’t or say it on us to fix it. Our stove has been having problems for a long time and they have yet to replace or fix it, our kitchen is missing several handles and is almost falling apart. We are not the only ones who have problems, many of the tents have expressed that they don’t even bother complaining anymore since they don’t listen to us. But enough is enough.",
"09/03/2020","CE-0512051","Complaint","Building-Miscellaneous","New","GID - 03062123 - SMR""This is Greece drainage from the northeast corner of the Smart & Final building. A stench has been stinking up the whole block for several months now. I believe it's coming from this spot. I live in the apartment building next door and I'm concerned about toxic materials. The whole area the entire apartment complex when you go outside smells very very badly multiple times a week""",
"09/03/2020","CE-0512050","Complaint","Noise-Barking Dogs","New","Online-RKL-Constant NEW Dog Barking on a daily basis",
"09/03/2020","CE-0512049","Complaint","Zoning-Unpermitted Business (Residential Zone)","New","Online-RKL-New tenant moved in next door and is running a school or learning pod out of a small office.  The office is less than 300 sq feet, has no bathroom or sink to wash hands and they have 6 kids and two teachers in a very small claim space with no social distancing.  They claim they are doing therapy which is a crock of shit.  The same 6 kids attend group therapy M-F from 8-12.  This is totally unacceptable, in violation of county health orders.  In addition, they are claiming they are a therapy center to get around city guidelines for schools etc.",
"09/03/2020","CE-0512048","Complaint","Building-Unpermitted Work","New","Online-RKL-The owner-John DeBeck took out swimming pool without permit.  I don't know what he filled it with, but it is NOT safe land.When his garage in back was built, there was an area above garage built  as a library.  That library (?) has been a rental unit for many years.  The garage is full of rats.  The county has come out but he doesn't care.He is doing construction in the house currently .  I don't know what he is doing.",
